Code,Symbol,Name
12540326,LINCOLN,
15210347,KRIDHANINF,
14090067,PILANIINVS,
13130011,SALZERELEC,
12540048,TTKHLTCARE,
11120016,UMANGDAIRY,
17025232,LUXIND,
14610015,BALAXI,
12070132,SHK,
14100051,IDFCFIRSTB,
11250580,COFFEEDAY,
11290107,PRABHAT,
15210280,SADBHIN,
17152816,GUJGASLTD,
12310319,SHREEPUSHK,
17160078,NAVKARCORP,
10990002,SHARDAMOTR,
13520778,POWERMECH,
15210337,ARVSMART,
14090110,MUTHOOTCAP,
14060507,SATIN,
15580093,RAMASTEEL,
12540404,ORTINLABSS,
13192382,MAJESCO,
16030064,AYMSYNTEX,
11040030,PKTEA,
17025290,KAYA,
16690529,INDIGO,
11140028,SYNGENE,
17152581,ADANITRANS,
16530304,BALKRISHNA,
15520134,SHYAMCENT,
14600005,ORICONENT,
15070035,ALANKIT,
17152271,SKIPPER,
11610043,NILAINFRA,
16530096,ARROWGREEN,
15210341,PNCINFRA,
12200053,TPLPLASTEH,
17040677,UFO,
11070135,FAIRCHEM,
13190085,BCG,
15210578,MEP,
17160024,VRLLOG,
15050073,VETO,
14060243,VIPULLTD,
14010238,LFIC,
11170001,AVANTIFEED,
14010091,BYKE,
12070125,INOXWIND,
17040842,ADLABS,
15510157,MANAKSTEEL,
14620164,BKMINDST,
17028354,MANAKALUCO,
17028356,MANAKCOAT,
10610019,JMA,
13190158,ZENTEC,
12540193,HESTERBIO,
16020019,GANECOS,
14510012,MENONBE,
17020344,LINCPEN,
17150629,GREENLAM,
12080043,VISHNU,
12200107,MOLDTKPAC,
16530215,GENUSPAPER,
16030152,LAMBODHARA,
14610020,GRPLTD,
16560048,CCHHL,
13600008,SHAKTIPUMP,
17024331,GULPOLY,
16620043,APOLSINHOT,
11040095,UNITEDTEA,
11040266,DTIL,
12310036,CAMLINFINE,
12060093,FCL,
12150003,BEARDSELL,
15580077,GOODLUCK,
12540004,AMRUTANJAN,
16070195,MONTECARLO,
13192325,INTELLECT,
14060339,MANAPPURAM,
16490453,PDSMFL,
10670088,MINDACORP,
13190144,CIGNITITEC,
16520001,SUPERHOUSE,
17040823,SHEMAROO,
12120089,SHARDACROP,
17150007,SNOWMAN,
13550044,GULFOILLUB,
11050105,HATSUN,
15080002,GOCLCORP,
12540222,CAPLIPOINT,
16590027,AGARIND,
17090083,WONDERLA,
13090009,BUTTERFLY,
15100007,ARCOTECH,
11100013,SDBL,
11140092,NATHBIOGEN,
13550003,CASTROLIND,
11140091,AGRITECH,
14090341,SREEL,
16490352,CNOVAPETRO,
14093737,JPOLYINVST,
16020100,ORBTEXP,
14590160,LYPSAGEMS,
,PILITA,
10770006,FLFL,
11250258,INTEGRA,
15210043,NTL,
14010549,IBULHSGFIN,
10770005,ABFRL,
17028141,FCONSUMER,
11510100,ORIENTCEM,
10540017,ATULAUTO,
13190021,CEREBRAINT,
16690415,JUSTDIAL,
14090401,VIVIDHA,
11070103,VIMALOIL,
11510029,GSCLCEMENT,
14510042,NIBL,
14080146,REPCOHOME,
16020054,MOHITIND,
15560023,ANKITMETAL,
10760013,VMART,
15200071,INFRATEL,
15070224,PCJEWELLER,
16690363,CARERATING,
12324327.5,ZUARI,
13520019,SUNCLAYLTD,
13240028,PROSEED,
17028028,DUCON,
16070031,KITEX,
12200057,MAYURUNIQ,
11040132,ROSSELLIND,
16490200,MORARJEE,
17029203,PROZONINTU,
17028850,RTNINFRA,
15130007,SEPOWER,
17040163,CINELINE,
13130028,EON,
16620219,SPECIALITY,
16090041,CHROMATIC,
16020020,SWANENERGY,
15510147,VSSL,
15070183,TBZ,
16690264,MTEDUCARE,
17028502,HEXATRADEX,
11600065,NBCC,
16610052,MMTC,
16610445,PROVOGE,
15120057,NAGAROIL,
16110004,NDL,
13110124,SCHNEIDER,
17028419,ORIENTREF,
11250011,MCX,
13020093,COMPUSOFT,
14010017,DBSTOCKBRO,
16070116,THOMASCOTT,
14010230,KANANIIND,
15580082,APLAPOLLO,
14060298,VIKASECO,
12670012,POLYMED,
13190024,DSSL,
17020012,JISLDVREQS,
